S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
1,SFold,http://sfold.wadsworth.org/cgi-bin/index.pl,Software for Statistical Folding of Nucleic Acids and Studies of Regulatory RNAs,http://sfold.wadsworth.org/License_info.html,,Pragya,
2,RNASoft,http://www.rnasoft.ca/,Software for RNA/DNA secondary structure prediction and design,"No. Though they wish to get acknowledged if the software is used. But, it is the person's wish.",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC169018/,Pragya,
3,RNAstructure,http://rna.urmc.rochester.edu/RNAstructureWeb/,RNA Secondary Structure Prediction (Has Dynalign incorporated - an algorithm for finding the secondary structure common to two RNA sequences),No. Web Service as well as available to download (after registration),,Pragya,
4,FOLDALIGN,http://foldalign.ku.dk/software/index.html,RNA Structure and Sequence Alignment,Not paid.,,Pragya,
5,ESTScan,http://myhits.isb-sib.ch/cgi-bin/estscan,"ESTScan is a program that can detect coding regions in DNA sequences, even if they are of low quality. It will also detect and correct sequencing errors that lead to frameshifts.",Not paid.,,Pragya,
6,HOMER,http://homer.salk.edu/homer/ngs/,Software for motif discovery and next-gen sequencing analysis,,,Pragya,
7,Transcription and Translation Tool,http://www.attotron.com/cybertory/analysis/trans.htm,,Not paid.,,Pragya,
8,Homeodomain Specificity Predictions,http://stormo.wustl.edu/flyhd/,Make predictions for a set of homeodomain proteins based on the reference set of homeodomain proteins,Not paid.,http://stormo.wustl.edu/resources.html,Pragya,
9,RSSVM (RNA Sampler + Support Vector Machine),http://stormo.wustl.edu/RSSVM/,RSSVM employs Support Vector Machines (SVM) for efficient identification of functional RNA motifs from random RNA structures,Not paid. Available to download. Source Code available.,http://stormo.wustl.edu/resources.html,Pragya,
10,PREP,http://prep.unl.edu/,Predictive RNA Editor for Plants,Not paid.,,Pragya,
11,REDITools,http://150.145.82.212/ernesto/reditools/doc/,REDItools are python scripts developed with the aim to study RNA editing at genomic scale by next generation sequencing data. Next generation sequencing technologies offer the unique opportunity to investigate in depth RNA editing even though no dedicated software has been released upto now,Not paid. These are Python scripts.,,Pragya,
12,CentroidFold,http://www.ncrna.org/centroidfold/,CentroidFold predicts an RNA secondary structure from an RNA sequence. FASTA and one-sequence-in-a-line format are accepted for predicting a secondary structure per sequence. It also predicts a consensus secondary structure when a multiple alignment (CLUSTALW format) is given.,Freely available,http://bioinformatics.oxfordjournals.org/content/25/4/465,Chandrani,
13,CentroidHomfold,http://www.ncrna.org/centroidhomfold/,The CentroidHomfold Web-server (CentroidHomfold-LAST) predicts an RNA secondary structure of an input (target) sequence by employing automatically collected homologous sequences of the target.,Freely available,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687982/,Chandrani,
14,Context Fold,,An RNA secondary structure prediction software based on feature-rich trained scoring models,Freely available,,Chandrani,
15,CONTRAfold,http://contra.stanford.edu/contrafold/,"Secondary structure prediction method based on conditional log-linear models (CLLMs), a flexible class of probabilistic models which generalize upon SCFGs by using discriminative training and feature-rich scoring.",Freely available,,chandrani,
16,Artemis,https://www.sanger.ac.uk/resources/software/artemis/#download,"Artemis is a free genome browser and annotation tool that allows visualisation of sequence features, next generation data and the results of analyses within the context of the sequence, and also its six-frame translation",Not Paid. Available to download.,,Pragya,
17,iFoldRNA,http://troll.med.unc.edu/ifoldrna.v2/index.php,a web portal for interactive RNA folding simulations,Not Paid.,,Pragya,
